value,date
222805,8/1/1978
223053,9/1/1978
223271,10/1/1978
223477,11/1/1978
223670,12/1/1978
223865,1/1/1979
224053,2/1/1979
224235,3/1/1979
224438,4/1/1979
224632,5/1/1979
224843,6/1/1979
225055,7/1/1979
225295,8/1/1979
225547,9/1/1979
225801,10/1/1979
226027,11/1/1979
226243,12/1/1979
226451,1/1/1980
226656,2/1/1980
226849,3/1/1980
227061,4/1/1980
227251,5/1/1980
227522,6/1/1980
227726,7/1/1980
227953,8/1/1980
228186,9/1/1980
228417,10/1/1980
228612,11/1/1980
228779,12/1/1980
228937,1/1/1981
229071,2/1/1981
229224,3/1/1981
229403,4/1/1981
229575,5/1/1981
229761,6/1/1981
229966,7/1/1981
230187,8/1/1981
230412,9/1/1981
230641,10/1/1981
230822,11/1/1981
230989,12/1/1981
231157,1/1/1982
231313,2/1/1982
231470,3/1/1982
231645,4/1/1982
231809,5/1/1982
231992,6/1/1982
232188,7/1/1982
232392,8/1/1982
232599,9/1/1982
232816,10/1/1982
232993,11/1/1982
233160,12/1/1982
233322,1/1/1983
233473,2/1/1983
233613,3/1/1983
233781,4/1/1983
233922,5/1/1983
234118,6/1/1983
234307,7/1/1983
234501,8/1/1983
234701,9/1/1983
234907,10/1/1983
235078,11/1/1983
235235,12/1/1983
235385,1/1/1984
235527,2/1/1984
235675,3/1/1984
235839,4/1/1984
235993,5/1/1984
236160,6/1/1984
236348,7/1/1984
236549,8/1/1984
236760,9/1/1984
236976,10/1/1984
237159,11/1/1984
237316,12/1/1984
237468,1/1/1985
237602,2/1/1985
237732,3/1/1985
237900,4/1/1985
238074,5/1/1985
238270,6/1/1985
238466,7/1/1985
238679,8/1/1985
238898,9/1/1985
239113,10/1/1985
239307,11/1/1985
239477,12/1/1985
239638,1/1/1986
239788,2/1/1986
239928,3/1/1986
240094,4/1/1986
240271,5/1/1986
240459,6/1/1986
240651,7/1/1986
240854,8/1/1986
241068,9/1/1986
241274,10/1/1986
241467,11/1/1986
241620,12/1/1986
241784,1/1/1987
241930,2/1/1987
242079,3/1/1987
242252,4/1/1987
242423,5/1/1987
242608,6/1/1987
242804,7/1/1987
243012,8/1/1987
243223,9/1/1987
243446,10/1/1987
243639,11/1/1987
243809,12/1/1987
243981,1/1/1988
244131,2/1/1988
244279,3/1/1988
244445,4/1/1988
244610,5/1/1988
244806,6/1/1988
245021,7/1/1988
245240,8/1/1988
245464,9/1/1988
245693,10/1/1988
245884,11/1/1988
246056,12/1/1988
246224,1/1/1989
246378,2/1/1989
246530,3/1/1989
246721,4/1/1989
246906,5/1/1989
247114,6/1/1989
247342,7/1/1989
247573,8/1/1989
247816,9/1/1989
248067,10/1/1989
248281,11/1/1989
248479,12/1/1989
248659,1/1/1990
248827,2/1/1990
249012,3/1/1990
249306,4/1/1990
249565,5/1/1990
249849,6/1/1990
250132,7/1/1990
250439,8/1/1990
250751,9/1/1990
251057,10/1/1990
251346,11/1/1990
251626,12/1/1990
251889,1/1/1991
252135,2/1/1991
252372,3/1/1991
252643,4/1/1991
252913,5/1/1991
253207,6/1/1991
253493,7/1/1991
253807,8/1/1991
254126,9/1/1991
254435,10/1/1991
254718,11/1/1991
254964,12/1/1991
255214,1/1/1992
255448,2/1/1992
255703,3/1/1992
255992,4/1/1992
256285,5/1/1992
256589,6/1/1992
256894,7/1/1992
257232,8/1/1992
257548,9/1/1992
257861,10/1/1992
258147,11/1/1992
258413,12/1/1992
258679,1/1/1993
258919,2/1/1993
259152,3/1/1993
259414,4/1/1993
259680,5/1/1993
259963,6/1/1993
260255,7/1/1993
260566,8/1/1993
260867,9/1/1993
261163,10/1/1993
261425,11/1/1993
261674,12/1/1993
261919,1/1/1994
262123,2/1/1994
262352,3/1/1994
262631,4/1/1994
262877,5/1/1994
263152,6/1/1994
263436,7/1/1994
263724,8/1/1994
264017,9/1/1994
264301,10/1/1994
264559,11/1/1994
264804,12/1/1994
265044,1/1/1995
265270,2/1/1995
265495,3/1/1995
265755,4/1/1995
265998,5/1/1995
266270,6/1/1995
266557,7/1/1995
266843,8/1/1995
267152,9/1/1995
267456,10/1/1995
267715,11/1/1995
267943,12/1/1995
268151,1/1/1996
268364,2/1/1996
268595,3/1/1996
268853,4/1/1996
269108,5/1/1996
269386,6/1/1996
269667,7/1/1996
269976,8/1/1996
270284,9/1/1996
270581,10/1/1996
270878,11/1/1996
271125,12/1/1996
